rep,Lambda1,Lambda2,r_gain_algebraic,delta_phi_weak_deg,delta_phi_strong_deg
183,3.13162184419,1.02123744105,1.01992410919,4.59471814755,85.4052818524
184,3.10215329966,0.987070381458,0.987699156453,4.25302619894,85.7469738011
185,3.31489760808,1.03001579491,1.02592836003,4.12908410986,85.8709158901
186,3.33500314274,0.998103969093,0.998375993915,4.50421285307,85.4957871469
187,3.07734260874,0.953767952404,0.955511276843,4.01078891738,85.9892110826
188,3.01898667067,0.991903767617,0.991980034032,4.31821255629,85.6817874437
189,3.1025435633,1.01457196859,1.01386061049,4.40326730789,85.5967326921
190,3.26826829214,1.00693326507,1.00611321008,4.1450903176,85.8549096824
191,3.08979888631,1.00936765762,1.00896494822,5.08459179188,84.9154082081
192,3.17498364849,0.996204435839,0.996509810448,4.83335906554,85.1666409345
193,3.05405920636,1.00070586201,1.00068728488,4.6359496655,85.3640503345
194,3.10034694745,1.03725616846,1.03546504534,4.49643327344,85.5035667266
195,3.05247537545,1.04832251557,1.0470609742,4.76679275352,85.2332072465
196,3.10401301519,0.978633446116,0.979691807523,4.27840079383,85.7215992062
197,3.33938678953,0.992720295781,0.993776459917,4.70561083506,85.2943891649
198,3.06147745624,1.00745902624,1.00723648815,4.34831576824,85.6516842318
199,2.96495278518,1.06777427787,1.06890114138,4.68449380783,85.3155061922
200,3.01176586782,1.0524797007,1.05213729233,4.85801210801,85.141987892
201,3.10034990386,1.04868336375,1.04633249201,4.43755196059,85.5624480394
202,3.05847885986,0.987648340008,0.987999667587,4.62697556762,85.3730244324
203,3.06918180336,0.998183511331,0.99824424585,4.76343810367,85.2365618963
204,3.30404111882,0.990202670857,0.991495679555,5.1599796017,84.8400203983
205,3.00450954339,1.06558784862,1.06537030971,4.6479135361,85.3520864639
206,3.03983507802,0.989263058821,0.989473027671,4.55278207336,85.4472179266
207,3.03477217808,1.04384681467,1.0430775144,4.89065266687,85.1093473331
208,3.07592775409,1.02655898869,1.02558339725,4.73329545705,85.2667045429
209,3.26948038584,1.00951112177,1.00838161438,4.85585114933,85.1441488507
210,3.19997882652,1.02717277252,1.02469899023,4.43922674648,85.5607732535
211,3.30212444247,0.992946771996,0.993872475643,4.74751377839,85.2524862216
212,3.07606919694,0.973522100727,0.974496425175,5.04315049685,84.9568495032
213,3.02452030461,1.02968812017,1.02932224223,4.87408979856,85.1259102014
214,3.16971852947,1.02100863166,1.01936349062,4.74938091703,85.250619083
215,3.21633005795,1.0265627394,1.02396657878,4.40413622959,85.5958637704
216,3.03038134192,0.982456760675,0.982720556623,4.54292997938,85.4570700206
217,3.126751555,0.96028668907,0.962666567183,4.92516402066,85.0748359793
218,3.25693992472,1.02430339367,1.02153409189,4.89172142676,85.1082785732
