realization,Lambda1,Lambda2,r_gain,weak_axis_w0,weak_axis_wa,delta_phi_weak_deg,delta_phi_strong_deg,angle_weak_lt_5deg,angle_weak_lt_10deg,angle_weak_lt_45deg,angle_weak_lt_angle_strong
69,37.74728772357683,6.844200011089281,1.3102285790084431,-0.20768703351048087,0.9781953261550662,44.721724980986316,45.27827501901367,0,0,1,1
70,38.588567890743434,7.719390014788511,1.346451955960564,-0.20373218964095002,0.9790266568914782,46.54103393123087,43.45896606876911,0,0,0,0
71,38.10908753013555,7.382188926555048,1.3340871995216015,-0.20298430955522329,0.9791819902726914,49.7945819754972,40.2054180245028,0,0,0,0
72,35.87581612024836,6.9983034492479765,1.334097838489498,-0.2043678455704591,0.9788941636851703,51.04416716038475,38.955832839615255,0,0,0,0
73,38.967903449613175,7.200852583329053,1.3181505690699664,-0.19940687739747018,0.9799167807760975,54.581067796257415,35.41893220374257,0,0,0,0
74,37.22062757110413,7.267349825084434,1.3360051359942475,-0.20155462435734028,0.9794772755915124,51.701025681870455,38.29897431812956,0,0,0,0
75,37.15446827073028,7.144047137711728,1.3303377219331656,-0.20159900121123886,0.9794681427747565,52.14853704007068,37.85146295992932,0,0,0,0
76,37.18170598611402,7.250687149602101,1.3355032129432352,-0.2096926873748565,0.9777673429101172,45.84651394175195,44.15348605824804,0,0,0,0
77,38.20221014700573,7.158242561415302,1.3222387784265783,-0.20564819598815262,0.9786259854953875,49.62444859393683,40.37555140606317,0,0,0,0
78,39.37198811514678,7.400475629851734,1.32457108633093,-0.2010767653125776,0.9795754868571541,51.27723692670659,38.722763073293386,0,0,0,0
79,37.062298666960835,7.028640608761512,1.3252560237595241,-0.2004348427874101,0.9797070346776051,51.61388805735427,38.38611194264573,0,0,0,0
80,37.25338797767841,6.9795556644010786,1.3211392582100727,-0.19971645073145264,0.9798537336292756,54.35093778661657,35.64906221338344,0,0,0,0
81,36.78985050139338,7.369194728067534,1.3449957928437088,-0.20443515557325406,0.9788801086781462,48.65344712884985,41.34655287115014,0,0,0,0
82,38.45310422123813,7.144112453559006,1.3194980339536635,-0.2046878692117907,0.9788272964101159,48.487518678081024,41.51248132191897,0,0,0,0
83,37.778198154400336,6.846718349659503,1.3101076850661004,-0.19960274612489104,0.979876902339984,52.81266607803731,37.18733392196267,0,0,0,0
84,38.61612076884247,6.878222867159229,1.3050872275419498,-0.20018303130141457,0.9797585181966916,53.16207431658138,36.83792568341862,0,0,0,0
85,37.61839402246031,6.999299726774581,1.3191008498007464,-0.19741474420056415,0.9803200593542019,54.061325105365555,35.93867489463447,0,0,0,0
86,37.60068276571653,7.261361504763459,1.3324161227496236,-0.20104999794533748,0.9795809809945167,51.843158813917164,38.15684118608281,0,0,0,0
87,37.43012790259162,6.963542917988317,1.31885191388054,-0.20352575447418622,0.9790695926570865,50.404312939298514,39.59568706070149,0,0,0,0
88,38.14165507199431,7.099371926035648,1.3198136344838534,-0.19942105200218088,0.9799138962267773,56.29937030475259,33.7006296952474,0,0,0,0
89,38.57513072772948,6.965034911326818,1.3096943533885888,-0.2031534851618848,0.9791469049466375,51.813675054727526,38.18632494527249,0,0,0,0
90,37.09867541617878,7.008173882903846,1.3239024659191878,-0.20188373451516847,0.979409494408855,52.54838609783785,37.451613902162144,0,0,0,0
91,36.702282530445444,7.574618198818084,1.356222310019672,-0.1993323619171347,0.9799319412553795,54.003165806199455,35.99683419380054,0,0,0,0
