realization,Lambda1,Lambda2,r_gain,weak_axis_w0,weak_axis_wa,delta_phi_weak_deg,delta_phi_strong_deg,angle_weak_lt_5deg,angle_weak_lt_10deg,angle_weak_lt_45deg,angle_weak_lt_angle_strong
47,6.482225020453345,1.5849893794890382,1.2110104956012198,-0.24886381033005658,0.9685384886043535,3.568143641004035,86.43185635899583,1,1,1,1
48,6.49734576197113,1.5322875122694408,1.1918538571621395,-0.24631179174790027,0.9691906423639978,3.325521581746391,86.67447841825344,1,1,1,1
49,6.611739886520404,1.5182934634561953,1.1831552243732477,-0.24996568879238754,0.9682546950191088,3.6863989649962057,86.31360103500379,1,1,1,1
50,6.759883747159141,1.504983542935464,1.1740075429183594,-0.2497789232160971,0.9683028914120866,3.359751840734835,86.64024815926497,1,1,1,1
51,6.457612414729098,1.4124741950503559,1.150297050314741,-0.25094936145349983,0.9680002159018771,3.434067262420203,86.56593273757984,1,1,1,1
52,6.566795741567046,1.5351552831659694,1.1905063103102305,-0.24529571188466157,0.9694483037949972,3.6902810397624015,86.30971896023757,1,1,1,1
53,6.665907684358437,1.5853742822802626,1.204448079258672,-0.24549307497026096,0.9693983444083478,3.4385050038499347,86.56149499614983,1,1,1,1
54,6.748994563096097,1.6212869070071794,1.2136424856874748,-0.24591189885390727,0.9692921840198989,3.586815635186768,86.41318436481328,1,1,1,1
55,7.004006907047979,1.5923457344890304,1.195414740903431,-0.25153381265661257,0.9678485114367993,3.6413055694566103,86.35869443054334,1,1,1,1
56,6.284403243798769,1.5108400265221766,1.1915487581195867,-0.24463171382331542,0.9696160707165838,3.27070618959055,86.72929381040939,1,1,1,1
57,6.706522142047891,1.4975784789985946,1.1730735340170988,-0.2501219898270296,0.9682143307165864,3.600903139901606,86.39909686009827,1,1,1,1
58,6.7088416614902435,1.4813238438107241,1.1674337897142772,-0.24913402629750875,0.968469017026767,3.558599723240301,86.44140027675972,1,1,1,1
59,6.866625238172962,1.572626276831598,1.1933725803372008,-0.24811789775356236,0.9687298430493162,3.250652433138968,86.74934756686118,1,1,1,1
60,6.752575829963451,1.5109770137994507,1.176260851209494,-0.250023485394887,0.9682397723451523,3.200876519306922,86.79912348069318,1,1,1,1
61,6.577123705093455,1.5007005647789042,1.178119477550365,-0.24444086727324402,0.9696642008482649,3.046298368749919,86.9537016312499,1,1,1,1
62,6.551718149302312,1.4414265334058276,1.1580243474422813,-0.24841578311648757,0.9686534977475807,3.3497440016224154,86.65025599837774,1,1,1,1
63,6.84166274338545,1.472282986796232,1.160644690696181,-0.25009645821361987,0.9682209260230865,3.3024578544469056,86.69754214555309,1,1,1,1
64,6.607083593027857,1.5239356047005972,1.1852658425430718,-0.24913251366238426,0.9684694061436644,3.241218384965572,86.75878161503437,1,1,1,1
65,6.638358703585069,1.502628448907749,1.1768832779491327,-0.24909220858664632,0.9684797734704771,3.433294943347765,86.5667050566521,1,1,1,1
66,6.705213090260896,1.5323184569002666,1.1849972246731282,-0.24795428199886646,0.9687717347437562,3.5011468503794267,86.49885314962061,1,1,1,1
67,6.208981597332393,1.4956921713898275,1.1886140864420083,-0.244125587294214,0.969743624690699,3.128058746099701,86.87194125390006,1,1,1,1
68,7.01451079968306,1.4671314931747481,1.1544034290991192,-0.2492862702622958,0.9684298402355813,3.367214375675147,86.63278562432494,1,1,1,1
69,6.651422209949825,1.4424750791252987,1.1556348847853701,-0.2512996504866265,0.9679093375235612,3.441970584631598,86.55802941536831,1,1,1,1
70,6.675191428619175,1.4702181514464359,1.1645802224067552,-0.251008027451767,0.9679850051290945,3.3621168496922,86.63788315030776,1,1,1,1
71,6.717292125622418,1.4129809401319977,1.1437174468379714,-0.24882947926686316,0.9685473092460593,3.560331124806444,86.43966887519333,1,1,1,1
72,6.882238787394323,1.4794920141640888,1.1619543056839388,-0.24774977936041212,0.968824053596352,3.18104633056658,86.81895366943338,1,1,1,1
73,6.906448908575678,1.5204767169282563,1.174882162896084,-0.24906681692307445,0.9684863038307808,3.6563131168522682,86.34368688314756,1,1,1,1
74,6.5406738690200275,1.5252527052309042,1.187910117696915,-0.24801119181730086,0.968757167061675,3.2917185091313375,86.70828149086854,1,1,1,1
75,6.687978358143191,1.5146048874046798,1.1794756883422295,-0.24746378971839186,0.9688971425173116,3.136888447257294,86.86311155274254,1,1,1,1
76,6.660532188509354,1.504454600033466,1.1768313561481474,-0.2466272104903741,0.9691104266520594,3.456734269764329,86.54326573023563,1,1,1,1
77,6.450633163577924,1.4817501285084465,1.1753983291642622,-0.24633298744700938,0.9691852554055038,3.122225720322638,86.87777427967735,1,1,1,1
78,6.970613592953288,1.5980541079121542,1.198342518474383,-0.2464739464296457,0.969149417650032,3.4840746729120857,86.51592532708781,1,1,1,1
79,6.477179511079884,1.4271635920781396,1.1550364094434369,-0.24967844843578688,0.9683288038609086,3.172142208825449,86.8278577911743,1,1,1,1
